新婚,新婚,0,365,365
家有女童,家有女童,0,2000,2000
家有男童,家有男童,0,2000,2000
待孕妈妈,待孕妈妈,0,280,280
待孕妈妈,初为人父母,281,645,364
待孕妈妈,家有宝贝,646,1375,729
待孕妈妈,学龄前儿童,1376,2475,1099
待孕妈妈,家有小学生,2476,4665,2189
待孕妈妈,家有初中生,4666,5765,1099
待孕妈妈,家有高中生,5766,6865,1099
初为人父母,初为人父母,0,365,365
初为人父母,家有宝贝,366,1095,729
初为人父母,学龄前儿童,1096,2195,1099
初为人父母,家有小学生,2196,4385,2189
初为人父母,家有初中生,4386,5485,1099
初为人父母,家有高中生,5486,6585,1099
家有宝贝,家有宝贝,0,730,730
家有宝贝,学龄前儿童,731,1830,1099
家有宝贝,家有小学生,1831,4020,2189
家有宝贝,家有初中生,4021,5120,1099
家有宝贝,家有高中生,5121,6220,1099
学龄前儿童,学龄前儿童,0,1100,1100
学龄前儿童,家有小学生,1101,3290,2189
学龄前儿童,家有初中生,3291,4390,1099
学龄前儿童,家有高中生,4391,5490,1099
家有小学生,家有小学生,0,2190,2190
家有小学生,家有初中生,2191,3290,1099
家有小学生,家有高中生,3291,4390,1099
家有初中生,家有初中生,0,1100,1100
家有初中生,家有高中生,1101,2200,1099
家有高中生,家有高中生,0,1100,1100
